__id__,AX1,AY1,AZ1,GX1,GY1,GZ1,labels
1:59:58,-0.28,6.62,7.52,-0.1,0.03,-0.01,
1:59:59,0.13,6.69,7.54,-0.05,0.1,0,
2:00:00,-0.05,6.85,7.08,-0.1,-0.02,-0.06,
2:00:01,-0.41,6.96,7.3,-0.06,0.04,0,
2:00:02,-0.29,6.93,7.15,-0.06,-0.01,-0.05,
2:00:03,-0.11,6.95,7.11,-0.1,-0.08,-0.05,
2:00:04,0.04,7.02,7.04,-0.08,0.05,-0.02,
2:00:05,-0.1,7.12,7.01,-0.1,0.03,-0.01,
2:00:06,0.03,7.15,7,-0.12,0.02,-0.02,
2:00:07,-0.06,6.62,7.21,-0.07,0.06,-0.03,
2:00:08,-0.21,6.85,7.29,-0.07,0.06,-0.03,
2:00:09,-0.35,6.88,7.38,-0.08,0.01,-0.01,
2:00:10,-0.38,6.74,7.25,-0.07,0.02,0.01,
2:00:11,-0.23,6.94,7.18,-0.06,0.01,-0.03,
2:00:12,-0.14,6.89,7.2,-0.07,0.04,-0.03,
2:00:13,-0.56,6.88,7.25,-0.03,-0.02,-0.06,
2:00:14,-0.25,6.94,7.25,-0.11,0.06,-0.01,
2:00:15,-0.41,6.92,7.17,-0.07,0.04,0,
2:00:16,0.08,7.04,7.18,-0.05,-0.01,-0.06,
2:00:17,-0.15,7.1,7.12,-0.09,0.05,-0.05,
2:00:18,-0.25,6.88,7.25,-0.09,0.04,-0.01,
2:00:19,-0.16,6.86,7.37,-0.11,0.04,-0.01,
2:00:20,-0.36,6.87,7.35,-0.07,0.04,-0.01,
2:00:21,-0.35,6.92,7.34,-0.11,0.05,0.02,
2:00:22,-0.45,6.93,7.27,-0.05,0.02,-0.05,
2:00:23,-0.62,6.72,7.26,-0.09,0.05,-0.02,
2:00:24,-0.49,6.73,7.38,-0.06,0.02,-0.03,
2:00:25,-0.27,6.77,7.31,-0.12,0.03,-0.02,
2:00:26,-0.37,6.81,7.29,-0.07,0.04,-0.03,
2:00:27,-0.23,6.74,7.31,-0.06,-0.02,-0.02,
2:00:28,-0.17,6.82,7.4,-0.05,0.01,-0.06,
2:00:29,-0.17,6.78,7.38,-0.07,0.01,-0.04,
2:00:30,-0.03,6.84,7.33,-0.07,0.11,0,
2:00:31,-0.18,6.78,7.54,-0.16,0.05,0.01,
2:00:32,-0.39,6.6,7.56,-0.09,0.09,0.01,
2:00:33,-0.19,6.5,7.63,-0.07,0.02,-0.03,
2:00:34,-0.21,6.56,7.52,-0.04,0.02,-0.04,
2:00:35,-0.44,6.67,7.35,-0.04,0.04,-0.05,
2:00:36,-0.36,7.19,7.17,-0.14,0.08,0.01,
2:00:37,-0.48,6.76,7.49,-0.05,0.1,0,
2:00:38,-0.41,6.62,7.57,-0.11,0.07,0.01,
2:00:39,-0.16,6.61,7.65,-0.05,0.01,-0.07,
2:00:40,-0.2,6.58,7.55,-0.06,0.02,-0.01,
2:00:41,-0.36,6.67,7.43,-0.08,0.04,0,
2:00:42,-0.36,6.6,7.53,-0.06,-0.05,-0.05,
2:00:43,-0.08,7,7.22,0.07,0.02,-0.04,
2:00:44,0.36,6.8,7.24,-0.19,0.11,0.04,
2:00:45,0.15,6.57,7.56,-0.05,0.02,-0.04,
2:00:46,0.04,6.75,7.44,-0.06,0.01,-0.02,
2:00:47,0.04,6.81,7.3,-0.06,0.01,-0.03,
2:00:48,-0.21,6.96,7.17,-0.17,0.11,0.06,
2:00:49,0.01,6.76,7.47,-0.09,0.09,0.01,
2:00:50,0.2,6.83,7.36,-0.07,0.03,-0.04,
2:00:51,-0.22,6.64,7.51,-0.02,-0.14,-0.1,
2:00:52,0.03,6.55,7.56,-0.1,0.04,-0.02,
2:00:53,0,6.61,7.56,-0.08,0.03,-0.01,
2:00:54,-0.13,6.58,7.58,-0.03,-0.01,-0.03,
2:00:55,-0.01,6.76,7.24,-0.04,0.01,-0.03,
2:00:56,-0.28,6.66,7.39,0.02,-0.04,-0.11,
2:00:57,0.02,6.56,7.28,-0.05,0.02,-0.03,
2:00:58,-0.48,6.92,7.13,-0.11,0.01,-0.01,
2:00:59,-0.31,6.68,7.39,-0.15,0.08,-0.03,
2:01:00,-0.15,7,7.29,-0.13,0.09,0.05,
2:01:01,0.23,7.04,7.14,-0.09,0.04,-0.04,
2:01:02,0.19,6.98,7.27,-0.08,0.06,0,
2:01:03,-0.06,6.89,7.29,-0.12,0.03,0.01,
2:01:04,0.1,6.9,7.25,-0.08,0.02,0,
2:01:05,-0.11,6.92,7.26,-0.04,0.01,-0.04,
2:01:06,-0.01,6.98,7.12,-0.09,0.07,-0.01,
2:01:07,-0.17,6.76,7.34,-0.06,0.02,-0.04,
2:01:08,0.02,6.83,7.41,-0.1,0.04,0,
2:01:09,0,6.85,7.45,-0.1,0.06,0.01,
2:01:10,-0.02,6.83,7.42,-0.05,0.01,-0.01,
2:01:11,-0.19,6.81,7.33,-0.12,0.09,0.03,
2:01:12,0,6.79,7.27,-0.11,0.09,0.03,
2:01:13,-0.1,6.73,7.38,-0.14,0.11,0.01,
2:01:14,-0.18,6.71,7.48,-0.08,0.02,-0.01,
2:01:15,-0.5,6.73,7.38,-0.09,0.05,-0.01,
2:01:16,-0.44,6.6,7.51,-0.06,0.06,0,
2:01:17,-0.33,6.54,7.46,-0.06,0.01,-0.06,
2:01:18,-0.18,6.63,7.49,-0.07,0.02,-0.04,
2:01:19,-0.08,6.73,7.45,-0.08,0.04,-0.04,
2:01:20,-0.03,6.79,7.32,-0.08,0,-0.01,
2:01:21,-0.36,6.76,7.38,-0.06,0.05,-0.01,
2:01:22,-0.32,6.81,7.47,-0.06,0.05,-0.04,
2:01:23,-0.13,6.89,7.38,-0.09,0.03,-0.04,
2:01:24,-0.11,6.68,7.66,-0.07,0.03,-0.02,
2:01:25,-0.08,6.73,7.49,-0.06,0.04,0,
2:01:26,-0.24,6.61,7.5,-0.09,0.09,-0.02,
2:01:27,-0.12,7,7.15,-0.07,0.03,-0.01,
2:01:28,-0.27,6.66,7.25,-0.11,0.04,-0.04,
2:01:29,-0.08,6.89,7.31,-0.1,0.04,-0.01,
2:01:30,-0.02,6.68,7.48,-0.05,0.01,-0.04,
2:01:31,-0.12,6.7,7.4,-0.09,0.05,0.02,
2:01:32,-0.02,6.78,7.34,-0.06,0.01,-0.03,
2:01:33,-0.23,6.64,7.45,-0.09,0.06,-0.02,
2:01:34,-0.28,6.6,7.58,-0.06,0.03,-0.03,
2:01:35,0.01,6.79,7.36,-0.06,0.07,-0.03,
2:01:36,-0.22,6.39,7.53,0.03,-0.03,-0.07,
2:01:37,-0.03,6.69,7.48,-0.1,0.02,-0.01,
2:01:38,-0.3,6.68,7.29,-0.07,0.02,-0.02,
2:01:39,-0.08,6.85,7.36,-0.06,0.02,-0.02,
2:01:40,-0.3,6.62,7.42,-0.08,0.02,0,
2:01:41,0.11,6.8,7.45,-0.05,0.02,-0.01,
2:01:42,0.09,6.75,7.45,-0.07,0.05,-0.04,
2:01:43,-0.26,6.69,7.57,-0.08,0.05,-0.05,
2:01:44,-0.18,6.57,7.5,-0.07,0.02,-0.04,
2:01:45,-0.08,6.65,7.59,-0.1,0.02,-0.01,
2:01:46,-0.36,6.44,7.63,-0.09,0.05,-0.01,
2:01:47,-0.11,6.63,7.55,-0.04,-0.01,-0.06,
2:01:48,-0.11,6.54,7.55,-0.1,0.04,0,
2:01:49,-0.25,6.49,7.67,-0.06,0.02,-0.01,
